quarter,state,population
Unit,Births ;  Australia ;,000
Series Type,Births ;  Australia ;,Original
Data Type,Births ;  Australia ;,FLOW
Frequency,Births ;  Australia ;,Quarter
Collection Month,Births ;  Australia ;,3
Series Start,Births ;  Australia ;,1981-06-01 00:00:00
Series End,Births ;  Australia ;,2024-12-01 00:00:00
No. Obs,Births ;  Australia ;,175
Series ID,Births ;  Australia ;,A2133244X
1981-06-01 00:00:00,Births ;  Australia ;,60.3
1981-09-01 00:00:00,Births ;  Australia ;,61
1981-12-01 00:00:00,Births ;  Australia ;,55
1982-03-01 00:00:00,Births ;  Australia ;,60.6
1982-06-01 00:00:00,Births ;  Australia ;,60.5
1982-09-01 00:00:00,Births ;  Australia ;,60.3
1982-12-01 00:00:00,Births ;  Australia ;,58.6
1983-03-01 00:00:00,Births ;  Australia ;,61.9
1983-06-01 00:00:00,Births ;  Australia ;,61
1983-09-01 00:00:00,Births ;  Australia ;,62
1983-12-01 00:00:00,Births ;  Australia ;,57.6
1984-03-01 00:00:00,Births ;  Australia ;,61.1
1984-06-01 00:00:00,Births ;  Australia ;,59.8
1984-09-01 00:00:00,Births ;  Australia ;,60.7
1984-12-01 00:00:00,Births ;  Australia ;,56.9
1985-03-01 00:00:00,Births ;  Australia ;,62.3
1985-06-01 00:00:00,Births ;  Australia ;,62
1985-09-01 00:00:00,Births ;  Australia ;,60.8
1985-12-01 00:00:00,Births ;  Australia ;,57.8
1986-03-01 00:00:00,Births ;  Australia ;,60
1986-06-01 00:00:00,Births ;  Australia ;,60.5
1986-09-01 00:00:00,Births ;  Australia ;,60.8
1986-12-01 00:00:00,Births ;  Australia ;,62.2
1987-03-01 00:00:00,Births ;  Australia ;,59.1
1987-06-01 00:00:00,Births ;  Australia ;,60.8
1987-09-01 00:00:00,Births ;  Australia ;,61.5
1987-12-01 00:00:00,Births ;  Australia ;,62.6
1988-03-01 00:00:00,Births ;  Australia ;,61.5
1988-06-01 00:00:00,Births ;  Australia ;,60.6
1988-09-01 00:00:00,Births ;  Australia ;,62.2
1988-12-01 00:00:00,Births ;  Australia ;,62
1989-03-01 00:00:00,Births ;  Australia ;,63.4
1989-06-01 00:00:00,Births ;  Australia ;,62.7
1989-09-01 00:00:00,Births ;  Australia ;,61.9
1989-12-01 00:00:00,Births ;  Australia ;,62.9
1990-03-01 00:00:00,Births ;  Australia ;,65
1990-06-01 00:00:00,Births ;  Australia ;,67.7
1990-09-01 00:00:00,Births ;  Australia ;,65.8
1990-12-01 00:00:00,Births ;  Australia ;,64.1
1991-03-01 00:00:00,Births ;  Australia ;,64.9
1991-06-01 00:00:00,Births ;  Australia ;,66.3
1991-09-01 00:00:00,Births ;  Australia ;,65.3
1991-12-01 00:00:00,Births ;  Australia ;,62.8
1992-03-01 00:00:00,Births ;  Australia ;,65.7
1992-06-01 00:00:00,Births ;  Australia ;,65.8
1992-09-01 00:00:00,Births ;  Australia ;,67.2
1992-12-01 00:00:00,Births ;  Australia ;,63.9
1993-03-01 00:00:00,Births ;  Australia ;,64.3
1993-06-01 00:00:00,Births ;  Australia ;,65.1
1993-09-01 00:00:00,Births ;  Australia ;,66
1993-12-01 00:00:00,Births ;  Australia ;,63.7
1994-03-01 00:00:00,Births ;  Australia ;,65.3
1994-06-01 00:00:00,Births ;  Australia ;,63.9
1994-09-01 00:00:00,Births ;  Australia ;,66
1994-12-01 00:00:00,Births ;  Australia ;,63.8
1995-03-01 00:00:00,Births ;  Australia ;,64.5
1995-06-01 00:00:00,Births ;  Australia ;,64.3
1995-09-01 00:00:00,Births ;  Australia ;,65.3
1995-12-01 00:00:00,Births ;  Australia ;,61.2
1996-03-01 00:00:00,Births ;  Australia ;,62.3
1996-06-01 00:00:00,Births ;  Australia ;,62
1996-09-01 00:00:00,Births ;  Australia ;,65.3
1996-12-01 00:00:00,Births ;  Australia ;,63.8
1997-03-01 00:00:00,Births ;  Australia ;,61.6
1997-06-01 00:00:00,Births ;  Australia ;,63.6
1997-09-01 00:00:00,Births ;  Australia ;,64.5
1997-12-01 00:00:00,Births ;  Australia ;,62.1
1998-03-01 00:00:00,Births ;  Australia ;,60.9
1998-06-01 00:00:00,Births ;  Australia ;,62.3
