quarter,state,price_index
Unit,Residential Property Price Index ;  Sydney ;,Index Numbers
Series Type,Residential Property Price Index ;  Sydney ;,Original
Data Type,Residential Property Price Index ;  Sydney ;,INDEX
Frequency,Residential Property Price Index ;  Sydney ;,Quarter
Collection Month,Residential Property Price Index ;  Sydney ;,3
Series Start,Residential Property Price Index ;  Sydney ;,2003-09-01 00:00:00
Series End,Residential Property Price Index ;  Sydney ;,2021-12-01 00:00:00
No. Obs,Residential Property Price Index ;  Sydney ;,74
Series ID,Residential Property Price Index ;  Sydney ;,A83728383L
2003-09-01 00:00:00,Residential Property Price Index ;  Sydney ;,85.3
2003-12-01 00:00:00,Residential Property Price Index ;  Sydney ;,88.2
2004-03-01 00:00:00,Residential Property Price Index ;  Sydney ;,87
2004-06-01 00:00:00,Residential Property Price Index ;  Sydney ;,84.4
2004-09-01 00:00:00,Residential Property Price Index ;  Sydney ;,84.2
2004-12-01 00:00:00,Residential Property Price Index ;  Sydney ;,84.8
2005-03-01 00:00:00,Residential Property Price Index ;  Sydney ;,83.2
2005-06-01 00:00:00,Residential Property Price Index ;  Sydney ;,82.6
2005-09-01 00:00:00,Residential Property Price Index ;  Sydney ;,81.4
2005-12-01 00:00:00,Residential Property Price Index ;  Sydney ;,81.8
2006-03-01 00:00:00,Residential Property Price Index ;  Sydney ;,80.8
2006-06-01 00:00:00,Residential Property Price Index ;  Sydney ;,82.3
2006-09-01 00:00:00,Residential Property Price Index ;  Sydney ;,82
2006-12-01 00:00:00,Residential Property Price Index ;  Sydney ;,82.7
2007-03-01 00:00:00,Residential Property Price Index ;  Sydney ;,81.9
2007-06-01 00:00:00,Residential Property Price Index ;  Sydney ;,85.2
2007-09-01 00:00:00,Residential Property Price Index ;  Sydney ;,87.3
2007-12-01 00:00:00,Residential Property Price Index ;  Sydney ;,89.2
2008-03-01 00:00:00,Residential Property Price Index ;  Sydney ;,88.5
2008-06-01 00:00:00,Residential Property Price Index ;  Sydney ;,87.3
2008-09-01 00:00:00,Residential Property Price Index ;  Sydney ;,85.7
2008-12-01 00:00:00,Residential Property Price Index ;  Sydney ;,84.5
2009-03-01 00:00:00,Residential Property Price Index ;  Sydney ;,83.9
2009-06-01 00:00:00,Residential Property Price Index ;  Sydney ;,87.5
2009-09-01 00:00:00,Residential Property Price Index ;  Sydney ;,91.1
2009-12-01 00:00:00,Residential Property Price Index ;  Sydney ;,96
2010-03-01 00:00:00,Residential Property Price Index ;  Sydney ;,98.9
2010-06-01 00:00:00,Residential Property Price Index ;  Sydney ;,101.4
2010-09-01 00:00:00,Residential Property Price Index ;  Sydney ;,101.1
2010-12-01 00:00:00,Residential Property Price Index ;  Sydney ;,101.3
2011-03-01 00:00:00,Residential Property Price Index ;  Sydney ;,101
2011-06-01 00:00:00,Residential Property Price Index ;  Sydney ;,101.4
2011-09-01 00:00:00,Residential Property Price Index ;  Sydney ;,99.9
2011-12-01 00:00:00,Residential Property Price Index ;  Sydney ;,98.4
2012-03-01 00:00:00,Residential Property Price Index ;  Sydney ;,100.3
2012-06-01 00:00:00,Residential Property Price Index ;  Sydney ;,101.4
2012-09-01 00:00:00,Residential Property Price Index ;  Sydney ;,100.9
2012-12-01 00:00:00,Residential Property Price Index ;  Sydney ;,103.7
2013-03-01 00:00:00,Residential Property Price Index ;  Sydney ;,104.7
2013-06-01 00:00:00,Residential Property Price Index ;  Sydney ;,108.7
2013-09-01 00:00:00,Residential Property Price Index ;  Sydney ;,112.8
2013-12-01 00:00:00,Residential Property Price Index ;  Sydney ;,119
2014-03-01 00:00:00,Residential Property Price Index ;  Sydney ;,121.7
2014-06-01 00:00:00,Residential Property Price Index ;  Sydney ;,126
2014-09-01 00:00:00,Residential Property Price Index ;  Sydney ;,128.8
2014-12-01 00:00:00,Residential Property Price Index ;  Sydney ;,133.4
2015-03-01 00:00:00,Residential Property Price Index ;  Sydney ;,137.6
2015-06-01 00:00:00,Residential Property Price Index ;  Sydney ;,149.8
2015-09-01 00:00:00,Residential Property Price Index ;  Sydney ;,154.4
2015-12-01 00:00:00,Residential Property Price Index ;  Sydney ;,151.9
2016-03-01 00:00:00,Residential Property Price Index ;  Sydney ;,150.9
2016-06-01 00:00:00,Residential Property Price Index ;  Sydney ;,155.2
2016-09-01 00:00:00,Residential Property Price Index ;  Sydney ;,159.3
2016-12-01 00:00:00,Residential Property Price Index ;  Sydney ;,167.6
2017-03-01 00:00:00,Residential Property Price Index ;  Sydney ;,172.7
2017-06-01 00:00:00,Residential Property Price Index ;  Sydney ;,176.6
2017-09-01 00:00:00,Residential Property Price Index ;  Sydney ;,174.2
2017-12-01 00:00:00,Residential Property Price Index ;  Sydney ;,174
2018-03-01 00:00:00,Residential Property Price Index ;  Sydney ;,171.9
2018-06-01 00:00:00,Residential Property Price Index ;  Sydney ;,169.8
2018-09-01 00:00:00,Residential Property Price Index ;  Sydney ;,166.6
2018-12-01 00:00:00,Residential Property Price Index ;  Sydney ;,160.5
2019-03-01 00:00:00,Residential Property Price Index ;  Sydney ;,154.2
2019-06-01 00:00:00,Residential Property Price Index ;  Sydney ;,153.5
2019-09-01 00:00:00,Residential Property Price Index ;  Sydney ;,159
2019-12-01 00:00:00,Residential Property Price Index ;  Sydney ;,166.4
2020-03-01 00:00:00,Residential Property Price Index ;  Sydney ;,169.6
2020-06-01 00:00:00,Residential Property Price Index ;  Sydney ;,165.9
2020-09-01 00:00:00,Residential Property Price Index ;  Sydney ;,167.6
2020-12-01 00:00:00,Residential Property Price Index ;  Sydney ;,172.6
2021-03-01 00:00:00,Residential Property Price Index ;  Sydney ;,183.1
2021-06-01 00:00:00,Residential Property Price Index ;  Sydney ;,197.9
2021-09-01 00:00:00,Residential Property Price Index ;  Sydney ;,210.1
2021-12-01 00:00:00,Residential Property Price Index ;  Sydney ;,218.7
Unit,Residential Property Price Index ;  Melbourne ;,Index Numbers
Series Type,Residential Property Price Index ;  Melbourne ;,Original
Data Type,Residential Property Price Index ;  Melbourne ;,INDEX
Frequency,Residential Property Price Index ;  Melbourne ;,Quarter
Collection Month,Residential Property Price Index ;  Melbourne ;,3
Series Start,Residential Property Price Index ;  Melbourne ;,2003-09-01 00:00:00
Series End,Residential Property Price Index ;  Melbourne ;,2021-12-01 00:00:00
No. Obs,Residential Property Price Index ;  Melbourne ;,74
Series ID,Residential Property Price Index ;  Melbourne ;,A83728392R
2003-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,60.7
2003-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,62.1
2004-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,60.8
2004-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,60.9
2004-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,60.9
2004-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,62.4
2005-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,62.5
2005-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,63.2
2005-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,63.1
2005-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,64
2006-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,65.4
2006-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,67.2
2006-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,68.1
2006-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,69.5
2007-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,71
2007-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,76
2007-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,79.5
2007-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,84.7
2008-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,85.7
2008-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,85.5
2008-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,83
2008-12-01 00:00:00,Residential Property Price Index ;  Melbourne ;,82.3
2009-03-01 00:00:00,Residential Property Price Index ;  Melbourne ;,82.5
2009-06-01 00:00:00,Residential Property Price Index ;  Melbourne ;,86.9
2009-09-01 00:00:00,Residential Property Price Index ;  Melbourne ;,92.5
